subject,item,utterance,response,measure
0,fell down block towers,Some,4,comp_state
0,beeped new cars,Some,6,comp_state
0,had the letter Z in them novels,Some,7,comp_state
0,honked bus drivers,Some,8,comp_state
0,rhymed limericks,Some,7,comp_state
0,popped bubbles,Some,4,comp_state
0,lit up computers,Some,4,comp_state
0,were green bananas,Some,5,comp_state
0,flashed phones,Some,5,comp_state
0,rolled shopping carts,Some,6,comp_state
1,stuck to the wall baseballs,Some,7,comp_state
1,stopped motorcycles,Some,5,comp_state
1,decomposed pinecones,Some,4,comp_state
1,stuck stickers,Some,4,comp_state
1,flashed cameras,Some,6,comp_state
1,sank marbles,Some,5,comp_state
1,ate the seeds dogs,Some,5,comp_state
1,lit up flashlights,Some,5,comp_state
1,ripped shirts,Some,6,comp_state
1,froze chocolate bars,Some,5,comp_state
2,stuck to the wall cakes,Some,8,comp_state
2,fell down block towers,Some,7,comp_state
2,blew away hats,Some,7,comp_state
2,ran out of batteries phones,Some,10,comp_state
2,honked bicyclists,Some,8,comp_state
2,rhymed poems,Some,7,comp_state
2,landed flat coins,Some,8,comp_state
2,popped bubbles,Some,8,comp_state
2,dissolved carrots,Some,7,comp_state
2,were green bananas,Some,8,comp_state
3,lit up flashlights,Some,11,comp_state
3,stuck to the wall cakes,Some,8,comp_state
3,exploded CDs,Some,8,comp_state
3,ate the seeds dogs,Some,7,comp_state
3,honked bus drivers,Some,7,comp_state
3,froze berries,Some,9,comp_state
3,reflected the sunlight phone screens,Some,10,comp_state
3,laughed kids,Some,9,comp_state
3,got stained white carpets,Some,10,comp_state
3,had the letter Z in them love notes,Some,8,comp_state
4,stuck sequins,Some,4,comp_state
4,had the letter Z in them birthday cards,Some,7,comp_state
4,dissolved carrots,Some,7,comp_state
4,honked taxi drivers,Some,9,comp_state
4,lit up flashlights,Some,11,comp_state
4,ate the seeds dogs,Some,7,comp_state
4,stuck to the wall cakes,Some,8,comp_state
4,landed flat coins,Some,7,comp_state
4,flashed phones,Some,8,comp_state
4,popped bubbles,Some,8,comp_state
5,exploded CDs,Some,8,comp_state
5,fell down block towers,Some,7,comp_state
5,lit up computers,Some,7,comp_state
5,were green bananas,Some,5,comp_state
5,broke sunglasses,Some,4,comp_state
5,dissolved sugar cubes,Some,6,comp_state
5,ran out of batteries phones,Some,8,comp_state
5,froze bottles of hand soap,Some,7,comp_state
5,exploded candles,Some,6,comp_state
5,stopped cars,Some,7,comp_state
6,flashed phones,Some,8,comp_state
6,froze bottles of hand soap,Some,8,comp_state
6,landed flat pancakes,Some,8,comp_state
6,stopped cars,Some,10,comp_state
6,sank balloons,Some,7,comp_state
6,rhymed poems,Some,6,comp_state
6,decomposed soda cans,Some,6,comp_state
6,lit up cd-players,Some,11,comp_state
6,blew away backpacks,Some,8,comp_state
6,burnt matches,Some,12,comp_state
7,ran out of batteries laptops,Some,15,comp_state
7,landed flat pancakes,Some,8,comp_state
7,exploded gas tanks,Some,9,comp_state
7,had the letter Z in them love notes,Some,7,comp_state
7,lit up cd-players,Some,10,comp_state
7,flashed cameras,Some,8,comp_state
7,stuck beads,Some,15,comp_state
7,fell down block towers,Some,10,comp_state
7,reflected the sunlight mirrors,Some,9,comp_state
7,broke logs,Some,9,comp_state
8,stuck to the wall cakes,Some,7,comp_state
8,flashed webcams,Some,6,comp_state
8,froze berries,Some,7,comp_state
8,rhymed songs,Some,5,comp_state
8,honked bicyclists,Some,6,comp_state
8,ran out of batteries laptops,Some,14,comp_state
8,blew away hats,Some,11,comp_state
8,got stained white shirts,Some,15,comp_state
8,lit up flashlights,Some,9,comp_state
8,melted crayons,Some,11,comp_state
9,popped eggs,Some,7,comp_state
9,lit up flashlights,Some,7,comp_state
9,honked taxi drivers,Some,7,comp_state
9,had the letter Z in them novels,Some,6,comp_state
9,exploded balls of tin foil,Some,6,comp_state
9,beeped houses,Some,6,comp_state
9,stuck sequins,Some,7,comp_state
9,blew away hats,Some,6,comp_state
9,landed flat coins,Some,7,comp_state
9,laughed comedians,Some,6,comp_state
10,rolled wheelchairs,Some,10,comp_state
10,flashed phones,Some,8,comp_state
10,stuck to the wall pieces of gum,Some,6,comp_state
10,fell down shelves,Some,5,comp_state
10,beeped old cars,Some,7,comp_state
10,broke sunglasses,Some,12,comp_state
10,landed flat pancakes,Some,10,comp_state
10,stopped bicycles,Some,6,comp_state
10,honked bicyclists,Some,7,comp_state
10,ripped shoes,Some,6,comp_state
11,reflected the sunlight diamonds,Some,8,comp_state
11,ran out of batteries phones,Some,8,comp_state
11,were green clovers,Some,7,comp_state
11,burnt rocks,Some,8,comp_state
11,flashed webcams,Some,7,comp_state
11,sank marbles,Some,8,comp_state
11,laughed kids,Some,8,comp_state
